driver_id,order_id,distance_fly,distance_road
47300686,7828254005,1355.1400868347414,1355.1400868347414
93171491,7828275717,5935.453886953274,5935.453886953274
47011257,7828692021,1184.404679955989,1184.404679955989
8217436,7828264665,1665.0193860696004,1665.0193860696004
8398159,7828390567,3785.7034113029126,3785.7034113029126
302415000,7828247494,754.4649656201537,754.4649656201537
93559939,7828257247,1582.1459835122125,1582.1459835122125
302422490,7828442235,2950.5087433545314,2950.5087433545314
91775193,7828589122,1530.012506714601,1530.012506714601
47084536,7828699146,3539.011084603885,3539.011084603885
47505313,7828558576,1222.650498024036,1222.650498024036
302414365,7828621260,1496.0951260703546,1496.0951260703546
8231233,7828465849,5912.331416203244,5912.331416203244
47435660,7828190292,1567.072489934855,1567.072489934855
46767152,7828470983,1061.6885296365099,1061.6885296365099
91812566,7828584357,3944.811541694734,3944.811541694734
47144607,7828619917,2747.860386733505,2747.860386733505
8228780,7828262118,536.4190487872863,536.4190487872863
302428605,7828588326,2308.6258497281165,2308.6258497281165
8238857,7828287607,2181.926127308749,2181.926127308749
8356220,7828572231,1610.6354606863672,1610.6354606863672
47137587,7828566972,1722.817785670744,1722.817785670744
8221595,7828553623,1885.5616203001534,1885.5616203001534
47515588,7828568950,5233.931236163898,5233.931236163898
8365668,7828547423,1150.4265250144147,1150.4265250144147
8412341,7828280999,928.9186152184067,928.9186152184067
47632128,7828549148,1952.8385360671928,1952.8385360671928
92259576,7828501228,1127.0276490050485,1127.0276490050485
8383853,7828433988,1101.1097331892868,1101.1097331892868
303196498,7828494094,2353.2936305575695,2353.2936305575695
8390469,7828678537,573.9751219388033,573.9751219388033
8271323,7828621908,1748.0025210088406,1748.0025210088406
46976693,7828351705,1942.0285234079572,1942.0285234079572
8374906,7828661771,1839.0414340165626,1839.0414340165626
8301634,7828276199,2157.8774983666017,2157.8774983666017
8291831,7828616340,7672.89385073403,7672.89385073403
302440262,7828604893,1530.04771546458,1530.04771546458
8409926,7828619108,638.3304344382344,638.3304344382344
8252671,7828499250,775.3941443737702,775.3941443737702
8307478,7828415062,2651.01595098907,2651.01595098907
92034936,7828379891,7316.006636420597,7316.006636420597
92790769,7828426885,877.3492342443938,877.3492342443938
47281160,7828534207,3410.0460498631646,3410.0460498631646
92860136,7828303719,2597.232175415712,2597.232175415712
92283055,7828380681,2595.543354583663,2595.543354583663
92889491,7828296189,3249.992971490343,3249.992971490343
302414201,7828620128,3148.002536489938,3148.002536489938
302420602,7828282240,1512.0155901904213,1512.0155901904213
46939941,7828124795,1998.423708889581,1998.423708889581
92751633,7828428322,782.1316792668466,782.1316792668466
302412091,7828615411,992.7150573982834,992.7150573982834
46799883,7828294822,2650.1050217861507,2650.1050217861507
47279152,7828317205,4193.159689093681,4193.159689093681
8314318,7828528132,1542.9562852045033,2423.8144424035927
8268271,7828315067,1936.4522094126178,1936.4522094126178
47636613,7828361582,2570.1521996334977,2570.1521996334977
302434860,7828575610,2074.949913710188,2074.949913710188
46903650,7828611529,3256.9001765313124,3256.9001765313124
46639810,7828588107,1727.0562910694496,1727.0562910694496
303203823,7828420148,5264.6302772499175,5264.6302772499175
91680460,7828547146,2177.8055277430753,2177.8055277430753
93402627,7828700076,746.4469645671263,746.4469645671263
47405920,7828593592,3537.154736490068,3537.154736490068
47139680,7828389936,8620.772605099806,8620.772605099806
47221750,7828279919,1535.9664611608057,1535.9664611608057
8231169,7828122830,1225.1727997916062,1225.1727997916062
8313173,7828260106,1428.1337980587828,1428.1337980587828
8341908,7828660825,3109.743216012308,3109.743216012308
8278149,7828569550,2384.308755205441,2384.308755205441
8364721,7828515489,2368.6930516933103,2368.6930516933103
8211442,7828438898,1431.420249115339,1431.420249115339
8321517,7828629003,1022.2048067272931,1022.2048067272931
47428578,7828702470,3327.6757994814443,3327.6757994814443
8276674,7828634339,3999.1089543689013,3999.1089543689013
302411164,7828669285,2349.261000283539,2349.261000283539
8407266,7828325186,2529.7482850051024,2529.7482850051024
8401982,7828702289,3094.8463306800104,4075.4402128909965
8378328,7828603846,1526.6064276993473,1526.6064276993473
47250241,7828578312,7656.370520383472,7656.370520383472
47300686,7828649148,3319.4885079618,3319.4885079618
93559939,7828312732,3133.932112589299,3133.932112589299
47011257,7828413446,1943.8615236428707,1943.8615236428707
8217436,7828706552,3696.8477499026876,4826.17919947618
91775193,7828671687,2771.7894735956033,2771.7894735956033
302422490,7828661187,2811.6918135506958,2811.6918135506958
302415000,7828232929,2114.1306968936706,2114.1306968936706
93171491,7828567077,5764.325950414517,5764.325950414517
47084536,7828557993,127.76297384209818,127.76297384209818
8398159,7828474370,2590.5244688880507,2590.5244688880507
8221595,7828564626,1319.146989619096,1319.146989619096
47505313,7828322575,2001.9433412467263,2001.9433412467263
47144607,7828618563,2470.708170036737,2470.708170036737
47435660,7828396621,4340.745732044926,4340.745732044926
302414365,7828657497,1515.9645027425577,1515.9645027425577
91812566,7828696128,1259.277611393732,1259.277611393732
46767152,7828292650,1096.9948573538938,1096.9948573538938
47139680,7828687048,6936.00680783331,6936.00680783331
8228780,7828266750,1190.7945686713053,1190.7945686713053
47515588,7828343925,3029.8555551168974,3029.8555551168974
